Name,Comment,Time,Likes,Reply Count
edureka!,"Got a question on the topic? Please share it in the comment section below and our experts will answer it for you. For Edureka AI & ML Engineer Masters Program Course curriculum, Visit our Website: http://bit.ly/2wziDSd (Use Code ""𝐘𝐎𝐔𝐓𝐔𝐁𝐄𝟐𝟎"")",2019-06-02T08:51:45Z,206,16
edureka!,Please share your email id with us (it will not be published). We will forward the code to your email address.,2020-08-19T14:06:01Z,1,
Mohit Wayde,"Can i get a hands-on practice on it, can you provide code?",2020-08-14T11:25:24Z,0,
Tech Addiction,"best course on artificial intelligence on youtube, thanks for this",2020-07-10T17:18:33Z,0,
Kunal Yadav,Please I want to learn artificial intelligence,2020-06-02T01:22:37Z,2,
Star Blogger,I love u guys u guys are doing a great job,2020-02-29T08:47:27Z,0,
edureka!,"Hi Mahesh, you can refer to this blog for details: http://bit.ly/2Lx2JBo
If you have more doubts, feel free to post your questions on Edureka Community:  http://bit.ly/2SwoSR0",2019-07-20T14:45:24Z,2,
edureka!,"Hi Aditya! Yes, we have randomly considered two predictor variables.",2019-07-20T14:41:24Z,2,
Mahi MSD,"Who is your trainer...
Excellent ...work ...",2019-07-17T05:08:40Z,1,
edureka!,"Hi Saif, Check out the details here: https://www.edureka.co/masters-program/machine-learning-engineer-training",2019-07-09T05:37:07Z,3,
Saif Hesham,"Can you please tell me , after completion of this course if, want to get any certificate for career purpose use then how to enrol for that. Please reply",2019-07-08T14:28:05Z,1,
edureka!,"Hi Tony, please check out this video https://www.youtube.com/watch?v=gmmV4drPTS4",2019-06-14T12:12:10Z,3,
MAHESH VARA PRASAD. S,how to develop and run an application in phython 3.7.3 verssion,2019-06-08T14:45:05Z,2,
Neel Moradiya,Has anyone completed the course,2019-06-08T06:45:26Z,3,
edureka!,"Hi Chandan! Yes, you can take up the course.",2019-06-06T10:31:47Z,6,
Tony Anudeep,"Can you please explain Random forest implementation, bootstrapping implementation??",2019-06-04T09:00:29Z,2,
Jaskirat Singh,"Thanks mam, this is so helpful😇",2019-06-02T10:01:09Z,3,
Harini md MD,Tq so much for explaining about the course very clearly and it's very useful and make more videos on aids topics...,2022-06-20T07:41:13Z,0,0
Vipin Kumar,can i get the PDF documents about AI and machine learning,2022-06-10T07:01:00Z,0,1
edureka!,Hi great to hear from you :) please share your mail id ! so that we can share the data sheet with you :)Do subscribe the channel for more updates : ),2022-06-10T18:46:36Z,0,
harshal soni,great job edureka....can i have the dataset you used... it will really help,2022-06-06T05:17:32Z,0,1
edureka!,Thanks for showing interest in Edureka! Kindly share your mail id for us to share the datasheet/ source code  :) Do subscribe for more videos & updates,2022-06-06T13:41:32Z,1,
Gaurav Singh,please make this video in Hindi also,2022-06-05T19:57:15Z,1,0
NAUSHEEN MALIK,Thank you so much ma'am. Very nice explaination. Easy to understand. You made all the concepts very clear.,2022-06-03T06:19:40Z,0,1
edureka!,Glad to hear that :) Keep Watching :),2022-06-03T13:19:19Z,0,
Sarang,complete course of artificial intelligence in hindi and english #visionlok,2022-05-25T06:29:54Z,0,0
Ayaskanta Mishra,Best 5 hours spent for a quick grassp on fundamentals of AI & ML. Much recommended for begineers. Well structured crash course and very good instructor.,2022-05-23T09:59:11Z,0,1
edureka!,We are super happy that Edureka is helping you learn better. Your support means a lot to us and it motivated us to create even better learning content and courses experience for you . Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2022-05-23T19:44:16Z,0,
LEANN SPINKS,nice,2022-05-13T04:54:35Z,1,0
Henni A,This is a genuinely nice course; is it possible to get PPTs?,2022-04-30T05:10:49Z,0,1
edureka!,Hi please share your mail id to share the data sheet :) We'll Update you soon ! Do Subscribe the channel to keep updated,2022-04-30T18:46:40Z,0,
Victor Giustini Pérez,Great video! I learned a lot! The demos were more complicated to understand because I only have small a python knowledge but I still managed to follow along :)  Thank you!,2022-04-25T08:49:47Z,0,1
edureka!,Thank you so much : ) We are glad to be a part of your learning journey. Do subscribe the channel for more updates : ) Hit the bell icon to never miss an update from our channel : ),2022-04-25T19:46:15Z,0,
Poshala Keerthi Priya,Is there any video related to AI with robotics?,2022-04-21T03:47:15Z,0,1
edureka!,Thanks for showing interest in Edureka kindly visit the channel for more videos our content creators are eagerly waiting for your suggestion to make new videos on your interest :) DO subscribe for the video update,2022-04-21T19:30:59Z,0,
Ankan Deria,"Thanks Edureka for this amazing AI course. This is best AI course ever😍
Can you please share the ppt??
Thank you",2022-04-16T06:40:06Z,0,1
edureka!,Thanks for showing interest in Edureka! Kindly share your mail id for us to share the datasheet/ source code  :) Do subscribe for more videos & updates,2022-04-16T10:36:24Z,0,
shashi A,superb!,2022-04-14T07:16:09Z,1,0
Mehwish Akram,This video has my heart❤. Literally explained everything so clearly. Thanks for making such content.,2022-04-11T12:38:01Z,1,1
edureka!,Hey:) Thank you so much for your sweet words :) Really means a lot ! Glad to know that our content/courses is making you learn better :) Our team is striving hard to give the best content. Keep learning with us -Team Edureka :) Don't forget to like the video and share it with maximum people:) Do subscribe the channel:),2022-04-11T21:01:56Z,0,
Udhaya Kumar,This video's enough for AI concept,2022-04-11T06:37:46Z,0,1
edureka!,Thank you for you time in giving a feedback :) We are glad that  you are learning from our videos! Stay connected with our channel :),2022-04-11T21:27:55Z,0,
Nakky Travels,Great,2022-04-09T06:35:32Z,1,0
MUHAMMAD FAIQ,Best ever AI course,2022-03-09T09:27:04Z,3,0
Chirag Jain,Hi Can You Please Provide The Slides Used Throughout The Video For Refrence And Revision Please It Would Be A Great Help...,2022-03-07T17:08:00Z,1,1
edureka!,Hi great to hear from you :) please share your mail id ! so that we can share the data sheet with you :)Do subscribe the channel for more updates : ),2022-03-07T17:52:34Z,0,
Zainab Farooq,can we please get the source codes of these algorithms?,2022-02-27T09:07:46Z,0,1
edureka!,Good to know your learning with edureka :)  please share your mail id to share the data sheet! We'll Update you soon !,2022-02-27T18:19:35Z,0,
Harshit Raj,"I'm really thankful to Eureka for making me understand basics of AI.
Can I please get all the python codes and CSV files for learning of this video 
Thanks ❤️",2022-02-17T12:32:21Z,0,1
edureka!,Thanks for showing interest in edureka! Kindly share your mail id for us to share the datasheet/ source code  :) Do subscribe for more videos & updates,2022-02-17T17:14:39Z,0,
Yaseen Khamosh,in your examples you use a CSV test file where can I get that??!!1!,2022-02-15T00:45:27Z,0,1
